price,fit,residuals,weight,length,width,depth,table,cut,color,clarity,depth.percentage
353,69.91439404,283.085606,0.31,4.44,4.47,2.59,62,Very Good,J,SI1,58.1
354,-45.28384906,399.2838491,0.23,3.97,4.01,2.41,58,Very Good,G,VVS2,60.4
355,75.41926151,279.5807385,0.24,3.97,3.94,2.47,57,Premium,I,VS1,62.5
357,368.7709451,-11.77094507,0.3,4.28,4.3,2.67,57,Very Good,J,VS2,62.2
357,-257.3199246,614.3199246,0.23,3.96,3.97,2.4,61,Very Good,D,VS2,60.5
357,25.15689149,331.8431085,0.23,3.96,3.99,2.42,57,Very Good,F,VS1,60.9
402,9.090967833,392.9090322,0.23,4,4.03,2.41,57,Very Good,F,VS1,60
402,-23.13350954,425.1335095,0.23,4.04,4.06,2.42,57,Very Good,F,VS1,59.8
402,-126.0445819,528.0445819,0.23,3.97,4.01,2.42,59,Very Good,E,VS1,60.7
402,-59.7678635,461.7678635,0.23,4.01,4.06,2.4,58,Very Good,E,VS1,59.5
402,-37.95600844,439.9560084,0.23,3.92,3.96,2.44,58,Very Good,D,VS1,61.9
402,-145.3138423,547.3138423,0.23,4.06,4.08,2.37,59,Good,F,VS1,58.2
402,-76.62182863,478.6218286,0.23,3.83,3.85,2.46,59,Good,E,VS1,64.1
402,627.0770352,-225.0770352,0.31,4.29,4.31,2.75,54,Good,H,SI1,64
403,12.17529693,390.8247031,0.26,4.13,4.16,2.52,59,Very Good,D,VS2,60.8
403,619.0364245,-216.0364245,0.33,4.49,4.51,2.78,55,Ideal,I,SI2,61.8
403,565.8470715,-162.8470715,0.33,4.49,4.5,2.75,56,Ideal,I,SI2,61.2
403,566.4682953,-163.4682953,0.33,4.49,4.55,2.76,56,Ideal,J,SI1,61.1
403,248.7374889,154.2625111,0.26,3.99,4.02,2.61,56,Good,D,VS2,65.2
403,-269.8519621,672.8519621,0.26,4.19,4.24,2.46,63,Good,D,VS1,58.4
403,554.555314,-151.555314,0.32,4.34,4.37,2.75,56,Good,H,SI2,63.1
403,231.1954269,171.8045731,0.29,4.24,4.26,2.65,58,Premium,F,SI1,62.4
403,657.670089,-254.670089,0.32,4.35,4.42,2.71,55,Very Good,H,SI2,61.8
403,512.1429929,-109.1429929,0.32,4.36,4.38,2.79,56,Good,H,SI2,63.8
404,-102.006457,506.006457,0.25,4,4.03,2.54,60,Very Good,E,VS2,63.3
404,42.1556932,361.8443068,0.29,4.33,4.37,2.64,60,Very Good,H,SI2,60.7
404,-226.7589067,630.7589067,0.24,4.02,4.03,2.45,61,Very Good,F,SI1,60.9
404,246.9312538,157.0687462,0.23,3.93,3.95,2.44,54,Ideal,G,VS1,61.9
404,585.6685151,-181.6685151,0.32,4.45,4.48,2.72,55,Ideal,I,SI1,60.9
404,-136.6188749,540.6188749,0.22,3.93,3.89,2.41,58,Premium,E,VS2,61.6
404,-344.3662624,748.3662624,0.22,3.91,3.88,2.31,62,Premium,D,VS2,59.3
405,240.8841993,164.1158007,0.3,4.3,4.33,2.63,59,Ideal,I,SI2,61
405,19.95944978,385.0405502,0.3,4.43,4.38,2.61,61,Premium,J,SI2,59.3
405,387.8685387,17.13146129,0.3,4.25,4.28,2.67,57,Very Good,I,SI1,62.6
405,342.7814745,62.21852552,0.3,4.28,4.32,2.71,57,Very Good,I,SI1,63
405,514.5303022,-109.5303022,0.3,4.25,4.29,2.7,55,Good,I,SI1,63.2
552,651.7125198,-99.71251981,0.35,4.54,4.59,2.78,57,Ideal,I,VS1,60.9
552,261.4710721,290.5289279,0.3,4.23,4.27,2.66,59,Premium,D,SI1,62.6
552,349.9376483,202.0623517,0.3,4.29,4.32,2.69,57,Ideal,D,SI1,62.5
552,424.8598196,127.1401804,0.3,4.3,4.33,2.68,56,Ideal,D,SI1,62.1
552,949.2723183,-397.2723183,0.42,4.78,4.84,2.96,59,Premium,I,SI2,61.5
553,357.8992223,195.1007777,0.28,4.19,4.22,2.58,56,Ideal,G,VVS2,61.4
553,591.3698385,-38.36983855,0.32,4.39,4.42,2.73,55.3,Ideal,I,VVS1,62
553,389.9726561,163.0273439,0.31,4.33,4.3,2.73,57,Very Good,G,SI1,63.3
553,341.2647339,211.7352661,0.31,4.35,4.32,2.68,58,Premium,G,SI1,61.8
553,8.367117897,544.6328821,0.24,4.01,4.03,2.44,58,Premium,E,VVS1,60.7
553,-120.9298703,673.9298703,0.24,3.97,4,2.45,60,Very Good,D,VVS1,61.5
554,408.2121905,145.7878095,0.3,4.29,4.27,2.7,56,Very Good,H,SI1,63.1
554,205.0463464,348.9536536,0.3,4.28,4.24,2.68,59,Premium,H,SI1,62.9
554,353.4409283,200.5590717,0.3,4.29,4.25,2.67,57,Premium,H,SI1,62.5
554,326.0016969,227.9983031,0.3,4.28,4.26,2.72,57,Good,H,SI1,63.7
554,-74.46351571,628.4635157,0.26,4.19,4.22,2.49,60,Very Good,F,VVS2,59.2
554,89.16845285,464.8315472,0.26,4.15,4.23,2.51,58,Very Good,E,VVS2,59.9
554,382.7406864,171.2593136,0.26,4.08,4.13,2.56,54,Very Good,D,VVS2,62.4
554,3.059211074,550.9407889,0.26,4.01,4.05,2.53,60,Very Good,D,VVS2,62.8
554,31.18026051,522.8197395,0.26,4.06,4.09,2.55,59,Very Good,E,VVS1,62.6
554,67.79353858,486.2064614,0.26,4,4.04,2.55,59,Very Good,E,VVS1,63.4
554,-0.708365805,554.7083658,0.26,4.03,4.12,2.53,60,Very Good,D,VVS1,62.1
554,136.8771484,417.1228516,0.26,4.02,4.06,2.54,58,Ideal,E,VVS2,62.9
554,896.7221204,-342.7221204,0.38,4.65,4.67,2.87,56,Ideal,I,SI2,61.6
554,-62.82591112,616.8259111,0.26,4.22,4.25,2.45,60,Good,E,VVS1,57.9
554,-45.27179211,599.2717921,0.24,3.95,3.92,2.45,59,Premium,G,VVS1,62.3
554,-2.706246607,556.7062466,0.24,4.01,3.96,2.44,58,Premium,H,VVS1,61.2
554,-77.27149098,631.271491,0.24,4.02,4,2.44,59,Premium,H,VVS1,60.8
554,-49.15044155,603.1504415,0.24,4.07,4.04,2.46,58,Premium,H,VVS2,60.7
554,408.4390299,145.5609701,0.32,4.35,4.33,2.73,58,Premium,I,SI1,62.9
2757,2965.106135,-208.1061348,0.7,5.7,5.72,3.57,57,Ideal,E,SI1,62.5
2757,3292.383949,-535.3839488,0.86,6.45,6.33,3.52,69,Fair,E,SI2,55.1
2757,3081.687255,-324.6872551,0.7,5.7,5.67,3.5,56,Ideal,G,VS2,61.6
2759,3090.851306,-331.8513057,0.71,5.68,5.73,3.56,57,Very Good,E,VS2,62.4
2759,3684.465338,-925.4653382,0.78,5.81,5.85,3.72,56,Very Good,G,SI2,63.8
2759,2947.279153,-188.2791526,0.7,5.85,5.9,3.38,58,Good,E,VS2,57.5
2759,2720.552727,38.44727339,0.7,5.71,5.76,3.4,62,Good,F,VS1,59.4
2759,4499.629001,-1740.629001,0.96,6.27,5.95,4.07,62,Fair,F,SI2,66.3
2760,3089.099791,-329.0997906,0.73,5.77,5.78,3.56,59,Very Good,E,SI1,61.6
2760,3679.246189,-919.2461894,0.8,5.97,5.93,3.66,58,Premium,H,SI1,61.5
2760,3420.982978,-660.9829784,0.75,5.8,5.75,3.65,56,Very Good,D,SI1,63.2
2760,3503.756735,-743.7567349,0.75,6,5.96,3.58,54,Premium,E,SI1,59.9
2760,3451.970417,-691.9704165,0.74,5.8,5.85,3.59,55,Ideal,G,SI1,61.6
2760,3286.993374,-526.9933742,0.75,5.85,5.79,3.59,58,Premium,G,VS2,61.7
2760,3795.231034,-1035.231034,0.8,5.94,5.87,3.72,56,Ideal,I,VS1,62.9
2760,3464.998285,-704.9982846,0.75,5.87,5.8,3.63,55,Ideal,G,SI1,62.2
2760,3616.869196,-856.8691964,0.8,5.9,5.81,3.69,59,Premium,G,SI1,63
2761,3453.327547,-692.3275472,0.74,5.77,5.81,3.61,55,Ideal,I,VVS2,62.3
2761,3800.808896,-1039.808896,0.81,6.14,6.11,3.6,57,Ideal,F,SI2,58.8
2761,2341.599762,419.4002382,0.59,5.38,5.43,3.35,55,Ideal,E,VVS2,62
2761,3763.924113,-1002.924113,0.8,5.96,6,3.67,57,Ideal,F,SI2,61.4
2761,3355.05113,-594.05113,0.74,5.8,5.84,3.62,56,Ideal,E,SI2,62.2
2761,4435.598735,-1674.598735,0.9,6.16,6.12,3.87,58,Premium,I,VS2,63
2762,3205.278342,-443.2783415,0.74,5.73,5.82,3.59,59,Very Good,G,SI1,62.2
2762,3274.036096,-512.0360964,0.73,5.77,5.74,3.6,56,Ideal,F,VS2,62.6
2762,3459.197181,-697.1971806,0.73,5.8,5.75,3.62,53,Ideal,F,VS2,62.7
2762,3658.830983,-896.8309834,0.8,5.98,5.94,3.68,58,Premium,F,SI2,61.7
2762,3271.755738,-509.7557377,0.71,5.72,5.76,3.58,54,Ideal,G,VS2,62.4
2762,2934.006527,-172.0065271,0.7,5.73,5.76,3.49,58,Ideal,E,VS2,60.7
2762,3627.391914,-865.3919141,0.8,6.01,6.07,3.62,59,Ideal,F,SI2,59.9
2762,3120.893726,-358.893726,0.71,5.73,5.69,3.56,56,Ideal,D,SI2,62.3
2762,3500.414042,-738.4140419,0.74,5.8,5.83,3.62,54,Ideal,E,SI1,62.3
2762,2624.276717,137.7232831,0.7,5.64,5.61,3.47,63,Very Good,F,VS2,61.7
2762,3024.227656,-262.2276565,0.7,5.57,5.53,3.58,57,Fair,F,VS2,64.5
2762,3076.252621,-314.2526215,0.7,5.63,5.58,3.66,55,Fair,F,VS2,65.3
2762,2841.397982,-79.39798166,0.7,5.65,5.59,3.46,60,Premium,F,VS2,61.6
2763,4836.693689,-2073.693689,0.91,6.09,5.97,3.7,56,Premium,H,SI1,61.4
2763,2310.748069,452.2519307,0.61,5.56,5.58,3.32,57,Very Good,D,VVS2,59.6
2763,4599.731835,-1836.731835,0.91,6.11,6.09,3.93,57,Fair,H,SI2,64.4
2763,4408.282633,-1645.282633,0.91,6.03,5.99,3.95,60,Fair,H,SI2,65.7
2763,3582.956062,-819.9560619,0.77,5.89,5.86,3.64,56,Ideal,H,VS2,62
2764,3009.997943,-245.9979429,0.71,5.64,5.68,3.6,58,Very Good,D,SI1,63.6
2764,2956.769072,-192.7690715,0.71,5.69,5.72,3.53,59,Ideal,D,SI1,61.9
2765,2822.132593,-57.13259325,0.7,5.62,5.65,3.53,60,Very Good,E,VS2,62.6
2765,3324.679494,-559.679494,0.77,5.88,5.9,3.61,60,Very Good,H,VS1,61.3
2765,2282.893378,482.1066223,0.63,5.52,5.55,3.37,60,Premium,E,VVS1,60.9
2765,2758.177288,6.822711716,0.71,5.74,5.77,3.46,62,Very Good,F,VS1,60.1
2765,2958.350981,-193.3509807,0.71,5.69,5.73,3.53,59,Premium,F,VS1,61.8
2765,3444.644637,-679.6446368,0.76,5.88,5.91,3.61,57,Ideal,H,SI1,61.2
2766,2629.248523,136.7514771,0.64,5.53,5.56,3.43,56,Ideal,G,VVS1,61.9
2766,3056.252029,-290.2520285,0.71,5.78,5.75,3.51,57,Premium,G,VS2,60.9
2766,3064.879039,-298.879039,0.71,5.89,5.81,3.5,56,Premium,G,VS2,59.8
2767,3163.333509,-396.3335086,0.7,5.68,5.72,3.52,55,Very Good,D,VS2,61.8
2767,2965.648322,-198.6483219,0.7,5.8,5.87,3.5,57,Very Good,F,VS1,60
2767,3212.595675,-445.5956748,0.71,5.74,5.76,3.54,55,Ideal,D,SI2,61.6
2767,2550.107918,216.8920822,0.7,5.62,5.65,3.5,64,Good,H,VVS2,62.1
2768,3072.804394,-304.8043942,0.71,5.52,5.61,3.52,59,Very Good,G,VS1,63.3
2768,3308.38467,-540.38467,0.73,5.83,5.87,3.52,56,Very Good,D,SI1,60.2
2768,2988.492417,-220.4924166,0.7,5.66,5.73,3.48,58,Very Good,D,SI1,61.1
2768,3000.190615,-232.1906154,0.7,5.73,5.76,3.5,57,Ideal,E,SI1,60.9
2768,2948.595229,-180.5952286,0.71,5.71,5.67,3.51,59,Premium,D,SI2,61.7
2769,3379.815618,-610.8156183,0.74,5.82,5.86,3.57,56,Ideal,I,SI1,61.3
2770,2902.865865,-132.8658646,0.71,5.65,5.61,3.52,60,Premium,D,VS2,62.5
2770,3041.413148,-271.413148,0.73,5.83,5.76,3.56,59,Premium,G,VS2,61.4
2770,3466.456492,-696.4564918,0.76,5.79,5.81,3.65,57,Very Good,F,SI1,62.9
2770,3498.905748,-728.9057477,0.76,5.78,5.83,3.62,57,Ideal,D,SI2,62.4
2770,3145.054456,-375.0544558,0.71,5.77,5.8,3.51,56,Ideal,F,SI1,60.7
2770,3101.983453,-331.9834534,0.73,5.87,5.82,3.55,58,Premium,G,VS2,60.7
2770,3150.273854,-380.2738544,0.73,5.79,5.75,3.55,58,Premium,G,VS1,61.5
2770,3156.715197,-386.7151972,0.73,5.92,5.89,3.54,57,Ideal,D,SI2,59.9
2770,3043.048169,-273.048169,0.73,5.92,5.87,3.49,59,Premium,G,VS2,59.2
2771,3222.152299,-451.1522988,0.72,5.81,5.83,3.51,56,Very Good,H,VVS2,60.3
2771,2992.537431,-221.537431,0.73,5.79,5.82,3.58,60,Very Good,F,SI1,61.7
2771,3060.076589,-289.0765891,0.71,5.73,5.77,3.56,57,Ideal,G,VS2,61.9
2771,3781.470869,-1010.470869,0.79,5.97,5.92,3.68,55,Ideal,F,SI2,61.9
2772,3076.554612,-304.5546123,0.73,5.83,5.89,3.54,59,Very Good,H,VVS1,60.4
2772,3731.567487,-959.5674871,0.8,6.01,6.03,3.67,57,Very Good,F,SI2,61
2772,2248.303847,523.6961533,0.58,5.39,5.44,3.33,55,Ideal,G,VVS1,61.5
2772,2230.145863,541.8541374,0.58,5.33,5.37,3.3,56,Ideal,F,VVS1,61.7
2772,2804.527876,-32.52787604,0.71,5.8,5.88,3.46,61,Good,E,VS2,59.2
2773,3442.468965,-669.4689652,0.75,5.85,5.89,3.6,56,Ideal,D,SI2,61.3
2773,2619.565658,153.4343415,0.7,5.87,5.78,3.38,62,Premium,D,VS2,58
2774,6406.820454,-3632.820454,1.17,6.83,6.9,4.13,61,Very Good,J,I1,60.2
2774,2422.954257,351.045743,0.6,5.41,5.44,3.35,55,Ideal,E,VS1,61.7
2774,3122.767393,-348.7673935,0.7,5.68,5.74,3.58,55,Ideal,E,SI1,62.7
2774,4265.625739,-1491.625739,0.83,5.85,5.88,3.79,54,Good,I,VS2,64.6
2775,3024.130689,-249.1306886,0.74,5.8,5.84,3.57,61,Very Good,F,VS2,61.3
2776,3238.722326,-462.7223261,0.72,5.62,5.69,3.61,56.4,Very Good,G,VS2,63.7
2776,2950.36988,-174.3698805,0.71,5.74,5.68,3.58,58,Premium,E,VS2,62.7
2776,2999.113449,-223.113449,0.71,5.79,5.62,3.55,57,Ideal,E,VS2,62.2
2776,1909.284477,866.7155227,0.54,5.25,5.27,3.24,56,Ideal,E,VVS2,61.6
2776,1848.93895,927.0610495,0.54,5.24,5.26,3.23,57,Ideal,E,VVS2,61.5
2776,3247.127972,-471.1279723,0.72,5.72,5.75,3.55,56,Ideal,G,SI1,61.8
2776,3220.834686,-444.8346864,0.72,5.79,5.82,3.53,56,Ideal,G,SI1,60.7
2776,2929.68212,-153.6821203,0.72,5.8,5.84,3.47,60.5,Good,G,VS2,59.7
2776,3123.753729,-347.7537291,0.71,5.8,5.76,3.5,56,Ideal,G,SI1,60.5
2777,2922.897516,-145.8975163,0.7,5.66,5.73,3.57,58,Very Good,D,VS1,62.7
2777,3041.918605,-264.918605,0.71,5.67,5.7,3.53,58,Premium,F,VS2,62.1
2777,3114.205552,-337.2055516,0.71,5.64,5.69,3.56,57,Very Good,F,VS2,62.8
2777,3033.22004,-256.2200403,0.71,5.61,5.64,3.59,58,Good,F,VS2,63.8
2777,2872.950744,-95.95074369,0.71,5.87,5.9,3.4,60,Good,F,VS2,57.8
2777,3133.294699,-356.2946988,0.7,5.7,5.67,3.53,55,Ideal,E,VS2,62.1
2777,2797.496381,-20.49638133,0.7,5.71,5.64,3.47,60,Premium,E,VS2,61.1
2777,2836.29435,-59.29434996,0.7,5.79,5.75,3.46,59,Premium,E,SI1,60
2777,2994.823664,-217.8236639,0.7,5.73,5.68,3.49,57,Premium,E,SI1,61.2
2777,2848.05051,-71.05050965,0.7,5.67,5.63,3.54,59,Premium,E,SI1,62.7
2777,3002.111986,-225.1119862,0.7,5.73,5.68,3.48,57,Premium,E,SI1,61
2777,2875.999892,-98.99989228,0.7,5.78,5.72,3.51,58,Premium,E,SI1,61
2777,2953.861104,-176.8611035,0.7,5.76,5.7,3.52,57,Ideal,E,SI1,61.4
2777,2791.945254,-14.94525352,0.72,5.82,5.71,3.56,61,Premium,F,SI1,61.8
2777,2578.621541,198.3784594,0.7,5.76,5.7,3.43,63,Very Good,E,SI1,59.9
2777,2936.192195,-159.1921948,0.7,5.71,5.68,3.49,58,Premium,E,SI1,61.3
2777,2908.449148,-131.4491482,0.7,5.77,5.74,3.48,58,Premium,E,SI1,60.5
2777,2820.254351,-43.25435134,0.7,5.64,5.59,3.6,59,Good,E,VS2,64.1
2777,5009.76767,-2232.76767,0.98,6.05,5.97,4.08,60,Fair,H,SI2,67.9
2777,3580.36493,-803.36493,0.78,5.83,5.8,3.63,58,Premium,F,SI1,62.4
2777,2829.40345,-52.40345013,0.7,5.6,5.51,3.51,60,Very Good,E,SI1,63.2
2778,1851.743781,926.256219,0.52,5.19,5.22,3.19,55,Ideal,F,VVS1,61.3
2779,3289.194446,-510.1944463,0.73,5.82,5.84,3.55,56,Very Good,H,VS2,60.8
2779,3340.906577,-561.9065771,0.74,5.84,5.8,3.59,56,Ideal,E,SI1,61.7
2780,3013.528684,-233.5286843,0.7,5.61,5.65,3.58,57,Very Good,F,VS2,63.6
2780,3454.240779,-674.2407791,0.77,5.9,5.93,3.62,58,Premium,G,VS2,61.2
2780,3324.263273,-544.2632726,0.71,5.68,5.72,3.54,54,Ideal,F,VS2,62.1
2780,3446.131855,-666.131855,0.74,5.81,5.86,3.59,55,Ideal,G,VS1,61.5
2780,2922.572625,-142.5726251,0.7,5.64,5.73,3.49,59,Ideal,G,VS1,61.4
2781,5227.304632,-2446.304632,1.01,6.39,6.36,3.94,60,Premium,F,I1,61.8
2781,3630.642704,-849.6427044,0.77,5.83,5.88,3.64,56,Ideal,H,SI1,62.2
2781,3683.293468,-902.2934676,0.78,5.92,5.99,3.64,56,Ideal,H,SI1,61.2
2782,2681.931119,100.0688809,0.72,5.83,5.76,3.51,63,Very Good,H,VS1,60.6
2782,1285.119207,1496.880793,0.53,5.34,5.37,3.08,64,Very Good,D,VVS2,57.5
2782,3493.445189,-711.4451891,0.76,5.9,5.94,3.63,56,Ideal,G,VS2,61.3
2782,2713.524829,68.4751708,0.7,5.81,5.77,3.31,62,Good,E,VS1,57.2
2782,2819.308236,-37.30823639,0.7,5.62,5.54,3.51,60,Premium,E,VS1,62.9
2782,3300.291925,-518.2919247,0.75,5.78,5.73,3.63,58,Very Good,D,SI2,63.1
2782,3180.41529,-398.4152902,0.72,5.76,5.75,3.5,57,Ideal,D,SI1,60.8
2782,2987.933848,-205.9338479,0.72,5.73,5.69,3.58,59,Premium,D,SI1,62.7
2782,2757.326712,24.67328845,0.7,5.68,5.66,3.56,60,Premium,D,SI1,62.8
2782,3295.660389,-513.6603894,0.84,6.39,6.2,3.47,67,Fair,G,SI1,55.1
2782,3193.462685,-411.4626846,0.75,5.88,5.85,3.6,59,Premium,F,SI1,61.4
2783,1867.941853,915.0581469,0.52,5.14,5.18,3.21,55,Ideal,F,IF,62.2
2784,3376.728776,-592.7287757,0.72,5.69,5.73,3.6,54,Very Good,F,VS2,63
2784,3746.025851,-962.0258512,0.79,5.85,5.92,3.75,56,Very Good,H,VS1,63.7
2787,3091.484587,-304.4845865,0.72,5.66,5.69,3.61,58,Very Good,F,VS2,63.6
2787,1658.343685,1128.656315,0.51,5.11,5.15,3.18,57,Ideal,F,VVS1,62
2787,2634.822787,152.1772125,0.64,5.54,5.55,3.41,56,Ideal,D,VS1,61.5
2788,2788.511467,-0.511466799,0.7,5.74,5.77,3.48,60,Very Good,H,VVS1,60.5
2788,3747.361179,-959.3611787,0.83,6.07,6.1,3.72,60,Very Good,I,VS1,61.1
2788,3526.7625,-738.7625003,0.76,5.85,5.87,3.62,56,Ideal,I,VVS2,61.8
2788,3171.519408,-383.5194085,0.71,5.64,5.68,3.58,56,Good,D,VS2,63.3
2788,3025.476012,-237.4760121,0.77,5.97,5.92,3.53,64,Good,G,VS1,59.4
2788,3210.167763,-422.1677633,0.71,5.71,5.65,3.55,55,Ideal,F,SI1,62.5
2788,5359.130621,-2571.130621,1.01,6.29,6.21,4.03,58,Fair,E,I1,64.5
2788,5345.282401,-2557.282401,1.01,6.31,6.22,3.93,59,Premium,H,SI2,62.7
2789,3863.665709,-1074.665709,0.77,5.81,5.77,3.72,52,Good,F,SI1,64.2
2789,3679.021161,-890.0211611,0.76,5.76,5.85,3.7,54,Good,E,SI1,63.7
2789,3368.101038,-579.1010379,0.76,5.92,5.94,3.58,58,Premium,E,SI1,60.4
2789,3407.785504,-618.7855043,0.76,5.82,5.86,3.61,58,Premium,E,SI1,61.8
2789,5760.037908,-2971.037908,1.05,6.49,6.45,4.09,56,Very Good,J,SI2,63.2
2789,3919.015316,-1130.015316,0.81,5.97,6.01,3.69,56,Ideal,G,SI2,61.6
2789,3057.636621,-268.6366206,0.7,5.72,5.75,3.53,56,Ideal,E,SI1,61.6
2789,1934.907025,854.0929751,0.55,5.28,5.3,3.22,57,Ideal,G,IF,60.9
2789,3607.192468,-818.1924677,0.81,5.94,5.99,3.64,61,Good,G,SI2,61
2789,2503.557441,285.4425592,0.63,5.48,5.41,3.38,57,Premium,E,VVS2,62.1
2789,2255.886238,533.113762,0.63,5.55,5.52,3.37,60,Premium,E,VVS1,60.9
2789,3306.674734,-517.6747342,0.77,5.9,5.88,3.61,60,Premium,H,VS1,61.3
2789,5504.915176,-2715.915176,1.05,6.41,6.27,4.18,59,Fair,J,SI2,65.8
2790,2639.568515,150.4314849,0.64,5.54,5.58,3.41,56,Ideal,G,IF,61.3
2790,3286.283118,-496.2831176,0.76,6,5.94,3.51,59,Premium,I,VVS1,58.8
2790,4114.76275,-1324.76275,0.83,6.02,6.05,3.76,55,Ideal,F,SI2,62.3
2790,2731.170149,58.82985143,0.71,5.77,5.74,3.46,62,Premium,F,VS1,60.1
2790,2922.341461,-132.3414611,0.71,5.73,5.69,3.53,59,Premium,F,VS1,61.8
2791,4354.756461,-1563.756461,0.87,6.07,6.1,3.87,55.8,Very Good,I,SI1,63.6
2791,3317.20179,-526.2017898,0.73,5.74,5.78,3.58,56,Ideal,E,SI1,62.2
2792,2926.047467,-134.0474666,0.71,5.83,5.86,3.46,59,Premium,E,SI1,59.2
2792,2946.806006,-154.8060062,0.71,5.7,5.75,3.54,59,Premium,E,SI1,61.8
2792,3243.59517,-451.5951699,0.71,5.72,5.77,3.52,55,Ideal,E,SI1,61.3
2792,2755.348357,36.65164298,0.7,5.71,5.65,3.53,60,Premium,F,VS1,62.1
2792,2741.089121,50.91087891,0.7,5.78,5.75,3.5,60,Premium,F,VS1,60.7
2792,3487.356901,-695.3569012,0.76,5.91,5.86,3.51,57,Premium,H,VVS2,59.6
2792,3024.566141,-232.5661409,0.7,5.73,5.68,3.55,56,Ideal,F,VS1,62.2
2793,3671.117273,-878.1172733,0.79,5.98,6.06,3.65,57,Very Good,G,SI1,60.6
2793,2990.04229,-197.0422899,0.7,5.66,5.69,3.57,57,Very Good,E,VS2,62.9
2793,3147.610919,-354.6109185,0.7,5.6,5.66,3.61,55,Good,E,VS2,64.1
2793,3525.537518,-732.537518,0.76,5.87,5.91,3.61,56,Ideal,I,VS2,61.3
2793,3387.774679,-594.7746788,0.73,5.72,5.76,3.6,55,Ideal,H,VS2,62.7
2794,3713.876539,-919.8765386,0.79,5.91,5.86,3.72,56,Very Good,E,SI1,63.2
2795,3103.959747,-308.959747,0.71,5.81,5.82,3.53,56,Very Good,E,VS2,60.7
2795,3682.361471,-887.3614705,0.81,5.91,5.86,3.64,60,Premium,I,VVS2,61.9
2795,3999.815567,-1204.815567,0.81,5.92,5.96,3.72,55,Ideal,F,SI2,62.6
2795,2984.669917,-189.6699168,0.72,5.74,5.72,3.48,60,Good,F,VS1,60.7
2795,2943.614726,-148.6147264,0.72,5.73,5.69,3.54,60,Premium,D,SI2,62
2795,3129.304404,-334.3044044,0.72,5.72,5.7,3.6,57,Premium,I,IF,63
2795,3656.631448,-861.6314477,0.81,6.17,6.13,3.57,59,Premium,H,VS2,58
2795,3128.551032,-333.5510321,0.72,5.73,5.65,3.58,57,Premium,G,VS2,62.9
2795,5072.248098,-2277.248098,1,6.61,6.55,3.83,60,Premium,I,SI2,58.2
2796,3167.621744,-371.621744,0.73,5.7,5.76,3.62,58,Good,E,SI1,63.2
2797,3742.724463,-945.7244627,0.81,5.94,6.01,3.66,59,Very Good,H,SI2,61.3
2797,3579.734794,-782.7347939,0.81,6.07,6.1,3.67,60,Very Good,E,SI1,60.3
2797,2867.402404,-70.40240412,0.71,5.67,5.71,3.57,60,Premium,D,SI1,62.7
2797,3012.593649,-215.5936492,0.71,5.73,5.75,3.52,58,Premium,D,SI1,61.3
2797,2848.736902,-51.73690212,0.71,5.74,5.69,3.52,60,Premium,D,SI1,61.6
