date,kftx,gold,sp500,nasdaq,dxy,expinf
2011-04-20,392.153,1502.4,1330.36,2357.76,74.368,2.95
2011-04-21,394.651,1504.88,1337.39,2377.3,74.109,2.89
2011-04-22,394.651,1507.04,1337.39,2377.3,74.108,2.89
2011-04-25,394.377,1507.23,1335.25,2383.72,73.986,2.9
2011-04-26,396.089,1506.25,1347.24,2396.03,73.837,2.84
2011-04-27,399.253,1527.05,1355.66,2413.59,73.519,2.79
2011-04-28,401.031,1536.2,1360.48,2409.9,73.121,2.71
2011-04-29,402.3,1563.7,1363.61,2404.08,72.933,2.69
2011-05-02,398.789,1545.45,1361.22,2404.24,72.951,2.68
2011-05-03,394.892,1535.9,1356.62,2392.8,73.14,2.68
2011-05-04,392.085,1516.22,1347.32,2387.51,73.031,2.69
2011-05-05,391.94,1474.3,1335.1,2375.21,74.194,2.68
2011-05-06,391.732,1495.58,1340.2,2383.18,74.841,2.71
2011-05-09,394.681,1513.73,1346.3,2390.97,74.737,2.67
2011-05-10,399.198,1516.26,1357.16,2411.35,74.611,2.67
2011-05-11,394.715,1501.41,1342.08,2393.08,75.327,2.66
2011-05-12,395.407,1505.88,1348.65,2407.89,75.24,2.66
2011-05-13,393.303,1495.15,1337.77,2379.24,75.757,2.63
2011-05-16,388.693,1489.33,1329.47,2337.85,75.47,2.56
2011-05-17,388.22,1486.7,1328.98,2343.51,75.399,2.52
2011-05-18,391.353,1496.98,1340.68,2362.95,75.475,2.58
2011-05-19,390.835,1493.28,1343.6,2369.67,75.123,2.42
2011-05-20,387.88,1512.23,1333.27,2351.43,75.435,2.53
2011-05-23,380.961,1517.1,1317.37,2316.78,76.104,2.55
2011-05-24,379.948,1526.64,1316.28,2303.55,75.882,2.59
2011-05-25,381.8,1525.35,1320.47,2310.95,75.932,2.58
2011-05-26,384.684,1519.2,1325.69,2325.93,75.549,2.56
2011-05-27,386.346,1536.4,1331.1,2336.09,74.954,2.53
2011-05-30,386.346,1538.46,1331.1,2336.09,74.958,2.53
2011-05-31,391.324,1535.73,1345.2,2372.54,74.638,2.5
2011-06-01,381.429,1539.83,1314.55,2322.48,74.677,2.45
2011-06-02,382.374,1533.65,1312.94,2326.7,74.333,2.5
2011-06-03,376.356,1542.28,1300.16,2292.31,73.783,2.45
2011-06-06,371.681,1544.58,1286.17,2274.48,73.952,2.47
2011-06-07,372.77,1544.13,1284.94,2268.96,73.521,2.46
2011-06-08,367.133,1537.6,1279.56,2252.89,73.93,2.43
2011-06-09,372.004,1543.98,1289,2256.65,74.192,2.39
2011-06-10,366.363,1531.27,1270.98,2221.09,74.795,2.41
2011-06-13,365.381,1515.65,1271.83,2222.28,74.512,2.41
2011-06-14,370.272,1523.98,1287.87,2250.34,74.332,2.52
2011-06-15,363.832,1530.98,1265.42,2209.01,75.601,2.49
2011-06-16,363.779,1529.58,1267.64,2199.93,75.752,2.45
2011-06-17,361.653,1539.4,1271.5,2192.96,74.988,2.48
2011-06-20,363.775,1540.6,1278.36,2204.36,75.029,2.47
2011-06-21,371.89,1546.28,1295.52,2251.82,74.541,2.51
2011-06-22,370.094,1548.95,1287.14,2235.75,74.783,2.48
2011-06-23,370.37,1521.4,1283.5,2255.05,75.447,2.63
2011-06-24,367.789,1502.55,1268.45,2217.06,75.665,2.69
2011-06-27,370.174,1497.93,1280.1,2252.24,75.392,2.76
2011-06-28,375.051,1501.25,1296.67,2285.75,75.063,2.76
2011-06-29,380.447,1512.33,1307.41,2294.43,74.691,2.8
2011-06-30,382.466,1500.18,1320.64,2325.07,74.303,2.83
2011-07-01,388.077,1487.43,1339.67,2361.39,74.349,2.85
2011-07-04,388.077,1496.2,1339.67,2361.39,74.275,2.85
2011-07-05,386.949,1515.7,1337.88,2371.21,74.691,2.75
2011-07-06,389.506,1528.98,1339.23,2378.58,75.122,2.73
2011-07-07,393.055,1532.36,1353.22,2412.89,74.957,2.74
2011-07-08,391.049,1544.15,1343.8,2405.89,75.179,2.67
2011-07-11,382.626,1553.48,1319.49,2362,75.989,2.61
2011-07-12,380.269,1567.76,1313.64,2343.79,75.809,2.63
2011-07-13,381.523,1582.38,1317.72,2352.43,75.208,2.67
2011-07-14,377.668,1587.23,1308.87,2325.06,75.253,2.62
2011-07-15,378.295,1593.6,1316.14,2356.67,75.126,2.68
2011-07-18,373.293,1604.79,1305.44,2344.01,75.483,2.72
2011-07-19,380.585,1588.5,1326.73,2398.17,75.221,2.72
2011-07-20,378.898,1600.4,1325.84,2387.8,74.792,2.67
2011-07-21,381.334,1590.55,1343.8,2404.24,74.015,2.66
2011-07-22,380.114,1601.33,1345.02,2429.5,74.201,2.73
2011-07-25,378.052,1614.02,1337.43,2424.15,74.064,2.84
2011-07-26,379.512,1619.32,1331.94,2429.45,73.474,2.83
2011-07-27,372.946,1613.47,1304.89,2367.16,74.087,2.8
2011-07-28,375.944,1615.95,1300.67,2371.77,74.222,2.81
2011-07-29,374.183,1627.05,1292.28,2362.81,73.897,2.81
2011-08-01,373.202,1619.38,1286.94,2354.05,74.262,2.81
2011-08-02,365.546,1659.4,1254.05,2292.85,74.513,2.75
2011-08-03,372.435,1661.72,1260.34,2312.78,74.044,2.69
2011-08-04,355.91,1646.52,1200.07,2207.2,75.124,2.67
2011-08-05,351.681,1663.95,1199.38,2194.38,74.598,2.7
2011-08-08,322.656,1719.45,1119.46,2060.29,74.791,2.66
2011-08-09,340.736,1740.95,1172.53,2160.79,74.605,2.65
2011-08-10,324.545,1793.27,1120.76,2073.09,74.636,2.65
2011-08-11,340.9,1763.92,1172.64,2167.07,74.677,2.7
2011-08-12,341.733,1746.68,1178.81,2182.05,74.607,2.68
2011-08-15,347.732,1766.02,1204.49,2214.12,73.836,2.66
2011-08-16,343.371,1785.55,1192.76,2194.27,74.01,2.62
2011-08-17,343.227,1791.25,1193.89,2181.62,73.674,2.59
2011-08-18,326.042,1823.9,1140.65,2073.03,74.244,2.36
2011-08-19,320.936,1852.07,1123.53,2038.22,74.009,2.4
2011-08-22,322.013,1897.46,1123.82,2044.73,74.074,2.41
2011-08-23,334.77,1828.63,1162.35,2129.27,73.894,2.38
2011-08-24,340.032,1759.13,1177.6,2145.04,74.012,2.43
2011-08-25,333.97,1774.45,1159.27,2108.21,74.279,2.52
2011-08-26,340.709,1827.15,1176.8,2161.97,73.814,2.44
2011-08-29,349.789,1788.4,1210.09,2223.96,73.721,2.45
2011-08-30,352.283,1835.52,1212.92,2237.69,73.946,2.43
2011-08-31,353.139,1825.55,1218.89,2241.01,74.117,2.38
2011-09-01,349.188,1826.1,1204.42,2219.05,74.479,2.44
2011-09-02,339.766,1882.96,1173.97,2167.83,74.756,2.32
2011-09-05,339.766,1900.2,1173.97,2167.83,75.112,2.32
2011-09-06,336.087,1875.25,1165.24,2167.6,75.952,2.23
2011-09-07,348.497,1817.71,1198.62,2223.75,75.467,2.25
2011-09-08,343.485,1870.2,1185.9,2214.29,76.246,2.27
2011-09-09,334.202,1855.57,1154.23,2163.66,77.192,2.27
2011-09-12,338.634,1815.25,1162.27,2191.84,77.578,2.25
2011-09-13,343.747,1833.67,1172.87,2220.58,76.919,2.25
2011-09-14,350.675,1819.8,1188.68,2252.75,76.833,2.24
2011-09-15,355.633,1788.72,1209.11,2286.56,76.241,2.19
2011-09-16,357.744,1811.38,1216.01,2306.09,76.599,2.21
2011-09-19,352.564,1778.85,1204.09,2308.76,77.146,2.15
2011-09-20,350.781,1803.69,1202.09,2295.89,77.03,2.15
2011-09-21,340.992,1782.3,1166.76,2258.3,77.342,2.06
2011-09-22,332.854,1740.39,1129.56,2184.59,78.455,1.93
2011-09-23,336.056,1656.74,1136.43,2206.86,78.501,2
2011-09-26,340.897,1626.88,1162.95,2234.28,78.363,2.1
2011-09-27,345.263,1650.72,1175.38,2253.55,77.506,2.19
2011-09-28,336.519,1609.16,1151.06,2220.84,77.852,2.17
2011-09-29,338.737,1614.69,1160.4,2197.68,78.028,2.1
2011-09-30,331.103,1623.79,1131.42,2139.18,78.553,2
2011-10-03,317.681,1658.3,1099.23,2085.04,79.431,1.98
2011-10-04,328.778,1623.82,1123.95,2129.21,79.597,2.03
2011-10-05,333.438,1640.85,1144.03,2182.77,78.919,2.1
2011-10-06,339.167,1651.36,1164.97,2217.99,78.634,2.18
2011-10-07,334.134,1637.85,1155.46,2202.76,78.726,2.25
2011-10-10,345.27,1676.65,1194.89,2278.65,77.494,2.25
2011-10-11,346.941,1662.3,1195.54,2294.92,77.585,2.25
2011-10-12,352.643,1676.3,1207.25,2307.18,76.994,2.29
2011-10-13,351.098,1668.05,1203.66,2326.88,76.996,2.23
2011-10-14,356.191,1680.95,1224.58,2371.94,76.623,2.3
2011-10-17,347.464,1670.8,1200.86,2334.38,77.146,2.22
2011-10-18,355.359,1657.97,1225.38,2364.87,77.138,2.22
2011-10-19,348,1640.75,1209.88,2316.81,77.114,2.19
2011-10-20,349.412,1620.66,1215.39,2306.29,76.974,2.24
2011-10-21,355.442,1641.85,1238.25,2335.93,76.395,2.26
2011-10-24,363.763,1653.48,1254.2,2384.42,76.028,2.28
2011-10-25,354.721,1705.27,1229.05,2335.87,76.122,2.28
2011-10-26,360.291,1724.64,1242,2334.79,76.246,2.33
2011-10-27,377.696,1744.95,1284.59,2399.83,74.879,2.42
2011-10-28,378.111,1743.42,1285.09,2401.29,75.067,2.37
2011-10-31,369.484,1714.7,1253.3,2360.08,76.166,2.3
2011-11-01,355.73,1719.55,1218.28,2298.37,77.261,2.28
2011-11-02,363.608,1737.8,1237.9,2318.32,77.017,2.29
2011-11-03,376.88,1763.67,1261.16,2367.71,76.672,2.27
2011-11-04,374.349,1754.65,1253.23,2356.32,76.962,2.31
2011-11-07,375.72,1794.9,1261.12,2371.04,76.962,2.34
2011-11-08,381.509,1786.32,1275.92,2400.01,76.586,2.37
2011-11-09,368.105,1769.7,1229.1,2314.1,77.926,2.21
2011-11-10,369.127,1758.5,1239.69,2312.07,77.743,2.28
2011-11-11,376.394,1788.63,1263.86,2355.78,76.945,2.28
2011-11-14,371.126,1780.3,1251.78,2341.32,77.569,2.26
2011-11-15,375.804,1780.9,1257.81,2366.24,77.872,2.28
2011-11-16,367.333,1763.35,1236.91,2324.37,78.016,2.24
2011-11-17,361.176,1721.52,1216.13,2272.09,78.282,2.21
2011-11-18,361.259,1723.92,1215.65,2253.95,78.064,2.28
2011-11-21,355.478,1677.57,1192.98,2211.14,78.3,2.21
2011-11-22,353.587,1699.9,1188.04,2216.33,78.266,2.18
2011-11-23,346.299,1692.41,1161.79,2166.54,79.141,2.19
2011-11-24,346.299,1697.42,1161.79,2166.54,79.141,2.19
2011-11-25,345.009,1683.52,1158.67,2150.88,79.686,2.2
2011-11-28,357.123,1712.35,1192.55,2224.22,79.263,2.24
2011-11-29,355.849,1715.67,1195.19,2211.39,79.007,2.28
2011-11-30,373.065,1746.35,1246.96,2295.2,78.384,2.34
2011-12-01,372.841,1744.8,1244.58,2309.2,78.328,2.34
2011-12-02,374.658,1746.59,1244.28,2302.04,78.625,2.34
2011-12-05,377.255,1722.67,1257.08,2326.95,78.57,2.33
2011-12-06,375.481,1728.55,1258.47,2321.49,78.499,2.31
2011-12-07,374.794,1741.89,1261.01,2320.54,78.485,2.35
2011-12-08,368.769,1708.27,1234.35,2282.59,78.832,2.31
2011-12-09,376.996,1711.47,1255.19,2318.68,78.632,2.4
2011-12-12,372.137,1666.49,1236.47,2292.24,79.534,2.44
2011-12-13,367.308,1631.5,1225.73,2268.37,80.242,2.37
2011-12-14,363.238,1573.9,1211.82,2233.03,80.589,2.32
2011-12-15,363.88,1570.52,1215.75,2226.71,80.321,2.25
2011-12-16,366.7,1598.95,1219.66,2238.18,80.256,2.24
2011-12-19,362.225,1594.35,1205.35,2215.27,80.25,2.24
2011-12-20,374.785,1615.69,1241.31,2281.94,79.882,2.36
2011-12-21,372.795,1615.17,1243.72,2249.03,80.022,2.4
2011-12-22,375.053,1606.07,1254,2266.77,79.964,2.44
2011-12-23,378.254,1606.88,1265.33,2287.57,79.93,2.46
2011-12-26,378.254,1607.25,1265.33,2287.57,79.921,2.46
2011-12-27,376.048,1592.95,1265.43,2293.12,79.797,2.43
2011-12-28,373.189,1556.8,1249.64,2267.08,80.497,2.37
2011-12-29,377.746,1545.65,1263.02,2285.07,80.486,2.31
2011-12-30,378.049,1564.91,1257.61,2277.83,80.178,2.33
2012-01-02,378.049,1566.37,1257.61,2277.83,80.28,2.33
2012-01-03,380.962,1603.95,1277.06,2321.96,79.611,2.36
2012-01-04,377.625,1611.95,1277.3,2329.71,80.129,2.45
2012-01-05,378.534,1622.71,1281.06,2348.98,80.936,2.5
2012-01-06,375.685,1617.08,1277.81,2356.17,81.254,2.47
2012-01-09,377.352,1611.15,1280.7,2350.65,81.051,2.49
2012-01-10,382.525,1632.33,1292.08,2367.38,80.805,2.46
2012-01-11,383.223,1641.99,1292.48,2372.25,81.351,2.39
2012-01-12,383.997,1649.99,1295.5,2381.99,80.77,2.39
2012-01-13,381.168,1638.92,1289.09,2371.98,81.515,2.37
2012-01-16,381.168,1643.88,1289.09,2371.98,81.515,2.37
2012-01-17,381.868,1652.38,1293.67,2393.24,81.182,2.38
2012-01-18,386.977,1659.84,1308.04,2425.96,80.609,2.41
2012-01-19,391.886,1658.5,1314.5,2441.7,80.216,2.27
2012-01-20,393.758,1666.6,1315.38,2437.02,80.223,2.32
2012-01-23,396.666,1676.85,1316,2437.22,79.783,2.37
2012-01-24,399.355,1665.25,1314.66,2433.96,79.868,2.37
2012-01-25,400.654,1710.8,1326.05,2465.66,79.579,2.43
2012-01-26,397.723,1720.08,1318.43,2454.63,79.395,2.38
2012-01-27,396.898,1738.95,1316.33,2461.77,78.902,2.34
2012-01-30,392.674,1729.85,1313.01,2465.32,79.167,2.35
2012-01-31,394.38,1737.76,1312.41,2467.95,79.288,2.34
2012-02-01,401.282,1743.53,1324.09,2488.18,78.922,2.41
2012-02-02,405.342,1759.55,1325.54,2495.83,78.991,2.43
2012-02-03,414.328,1726.33,1344.9,2529.17,78.924,2.48
2012-02-06,414.087,1720.25,1344.33,2528.3,79.069,2.47
2012-02-07,414.984,1745.45,1347.05,2532.06,78.576,2.47
2012-02-08,414.473,1733.13,1349.96,2545.72,78.641,2.53
2012-02-09,416.302,1729.54,1351.95,2563.93,78.566,2.51
2012-02-10,414.704,1721.85,1342.64,2547.32,79.114,2.52
2012-02-13,416.08,1722.25,1351.77,2569.49,78.946,2.45
