name.length,age,nationality,sex,school
23,25.03,Mexico,female,EMCS
21,24.37,Mexico,female,EMCS
21,22.09,Mexico,female,EMCS
29,22.08,Mexico,female,EMCS
25,23.27,Mexico,female,EMCS
22,24.31,Mexico,female,EMCS
25,23.37,Mexico,female,EMCS
23,23.36,Mexico,female,EMCS
36,22.87,Mexico,female,EMCS
19,21.69,Mexico,female,EMCS
20,21.53,Mexico,female,EMCS
21,21.72,Mexico,female,EMCS
21,31.77,Mexico,female,EMCS
24,22.90,Mexico,female,EMCS
24,22.48,Mexico,female,EMCS
18,22.43,Mexico,female,EMCS
20,21.32,Mexico,female,EMCS
25,21.20,Mexico,male,EMCS
21,21.74,Mexico,female,EMCS
22,21.64,Mexico,female,EMCS
18,21.25,Mexico,female,EMCS
18,25.05,Mexico,female,EMCS
25,22.54,Mexico,female,EMCS
24,22.92,Mexico,female,EMCS
21,24.21,Mexico,male,EMCS
24,24.11,Mexico,female,EMCS
28,23.81,Mexico,female,EMCS
26,22.48,Mexico,female,EMCS
20,23.87,Mexico,male,EMCS
21,22.49,Mexico,female,EMCS
21,22.78,Mexico,female,EMCS
20,21.77,Mexico,female,EMCS
26,21.62,Mexico,female,EMCS
20,22.50,Mexico,female,EMCS
16,21.36,Mexico,female,EMCS
22,22.38,Mexico,female,EMCS
21,21.47,Mexico,female,EMCS
24,23.11,Mexico,female,EMCS
28,22.20,Mexico,female,EMCS
23,25.15,South America,female,EMCS
25,25.34,Mexico,female,EMCS
22,21.16,Mexico,female,EMCS
24,23.17,Mexico,male,EMCS
19,22.16,Mexico,female,EMCS
27,23.22,Mexico,female,EMCS
21,23.39,Mexico,male,EMCS
22,24.44,Mexico,male,EMCS
19,22.74,Mexico,female,EMCS
26,22.92,South America,female,EMCS
32,23.10,Mexico,female,EMCS
29,22.20,Mexico,female,EMCS
20,23.76,Mexico,female,EMCS
20,22.57,Mexico,male,EMCS
21,22.46,Mexico,female,EMCS
27,23.53,Mexico,female,EMCS
21,22.66,Mexico,female,EMCS
31,22.27,Mexico,female,EMCS
27,23.34,Mexico,male,EMCS
25,23.12,Mexico,male,EMCS
21,23.90,Mexico,male,EMCS
28,22.91,Mexico,male,EMCS
25,24.42,Mexico,female,EMCS
29,24.76,Mexico,female,EMCS
19,23.58,Mexico,female,EMCS
16,23.84,Mexico,female,EMCS
19,23.32,Mexico,female,EMCS
25,22.35,Mexico,male,EMCS
20,24.16,Mexico,female,EMCS
21,22.51,Mexico,male,EMCS
17,23.25,Mexico,female,EMCS
25,22.30,Mexico,female,EMCS
27,22.97,Mexico,male,EMCS
23,22.81,Mexico,female,EMCS
22,22.44,Mexico,female,EMCS
27,22.50,Mexico,female,EMCS
30,22.23,Mexico,male,EMCS
19,22.79,Mexico,female,EMCS
28,22.99,Mexico,female,EMCS
20,22.85,Mexico,female,EMCS
14,24.17,Mexico,female,EMCS
21,24.86,Mexico,male,EMCS
18,23.30,Mexico,female,EMCS
26,23.32,Mexico,male,EMCS
20,23.44,Mexico,male,EMCS
23,22.56,Mexico,male,EMCS
21,23.06,Mexico,male,EMCS
23,23.34,Mexico,female,EMCS
27,23.14,Mexico,female,EMCS
28,22.88,Mexico,female,EMCS
26,22.31,Mexico,male,EMCS
20,23.02,Mexico,male,EMCS
20,22.40,Mexico,male,EMCS
20,22.89,Mexico,female,EMCS
21,22.64,Mexico,female,EMCS
21,21.26,Mexico,female,EMCS
28,25.18,Mexico,female,EMCS
20,22.29,Mexico,male,EMCS
26,22.82,Mexico,female,EMCS
25,22.88,Mexico,male,EMCS
21,22.38,Mexico,female,EMCS
15,22.95,Europe,female,International Students
16,22.62,Mexico,female,EMCS
25,23.20,Mexico,female,EMCS
20,23.19,Mexico,female,EMCS
24,23.19,Mexico,male,EMCS
19,22.69,Mexico,female,EMCS
26,26.04,Mexico,male,EMCS
24,29.11,Mexico,female,EMCS
26,23.16,Mexico,female,EMCS
20,25.13,Mexico,male,EMCS
29,29.96,Mexico,male,EMCS
25,25.36,Mexico,female,EMCS
20,24.58,Mexico,male,EMCS
20,24.62,Mexico,male,EMCS
25,30.09,Mexico,male,EMCS
26,27.44,Mexico,female,EMCS
19,28.48,North America,male,EMCS
24,27.54,Mexico,female,EMCS
28,26.51,Mexico,female,EMCS
22,24.89,South America,male,EMCS
28,25.26,South America,male,EMCS
26,27.44,Mexico,male,EMCS
29,24.82,Mexico,female,EMCS
15,26.03,Mexico,female,EMCS
22,25.69,Mexico,male,EMCS
26,24.96,Mexico,female,EMCS
19,25.23,Mexico,male,EMCS
17,23.27,South America,male,EMCS
24,25.03,Mexico,male,EMCS
26,25.52,South America,female,EMCS
27,25.23,Mexico,female,EMCS
22,23.81,Mexico,female,EMCS
35,24.21,North America,male,EMCS
26,24.43,Mexico,female,EMCS
22,23.95,Mexico,female,EMCS
28,24.05,South America,female,EMCS
26,23.94,Mexico,female,EMCS
24,24.10,Mexico,female,EMCS
19,24.58,Mexico,female,EMCS
33,24.24,Mexico,male,EMCS
18,24.05,Mexico,female,EMCS
17,24.24,North America,female,EMCS
25,24.94,Mexico,female,EMCS
28,24.51,Mexico,female,EMCS
20,24.39,Mexico,female,EMCS
25,23.38,Mexico,male,EMCS
28,23.79,Mexico,female,EMCS
28,24.07,Mexico,female,EMCS
19,24.13,Mexico,male,EMCS
24,23.79,Mexico,female,EMCS
23,24.25,Mexico,female,EMCS
21,23.98,Mexico,female,EMCS
28,24.28,Mexico,female,EMCS
24,24.71,Mexico,male,EMCS
20,23.57,Mexico,female,EMCS
27,22.33,Mexico,male,EMCS
31,23.69,South America,male,EMCS
22,24.47,Mexico,female,EMCS
29,23.62,South America,female,EMCS
18,23.62,Mexico,female,EMCS
30,24.89,Mexico,male,EMCS
28,23.08,Mexico,female,EMCS
18,24.67,Mexico,male,EMCS
20,25.59,Mexico,male,EMCS
20,24.00,Mexico,male,EMCS
26,24.28,Mexico,male,EMCS
21,24.09,Mexico,male,EMCS
23,23.48,Mexico,female,EMCS
28,24.28,South America,male,EMCS
22,23.47,Mexico,female,EMCS
27,24.33,Mexico,female,EMCS
30,23.84,Mexico,male,EMCS
30,24.09,Mexico,female,EMCS
26,27.88,Mexico,female,EMCS
24,26.14,Mexico,male,EMCS
21,25.91,Mexico,female,EMCS
21,23.96,Mexico,female,EMCS
24,26.81,Mexico,male,EMCS
30,28.22,Mexico,male,EMCS
25,24.24,Mexico,female,EMCS
20,24.09,Mexico,female,EMCS
21,26.28,Mexico,female,EMCS
21,25.00,Mexico,male,EMCS
23,24.51,Mexico,female,EMCS
24,23.76,Mexico,female,EMCS
20,24.61,Mexico,female,EMCS
22,24.34,Mexico,male,EMCS
22,24.86,Mexico,male,EMCS
20,24.34,Mexico,female,EMCS
28,24.07,Mexico,male,EMCS
21,23.82,Mexico,female,EMCS
21,27.39,Mexico,male,EMCS
23,30.63,Mexico,female,EMCS
27,26.49,Mexico,female,EMCS
17,25.56,Mexico,male,EMCS
22,25.51,Mexico,male,EMCS
21,24.44,Mexico,female,EMCS
22,24.78,Mexico,male,EMCS
29,24.95,Mexico,male,EMCS
20,24.34,Mexico,male,EMCS
25,27.36,Mexico,female,EMCS
31,25.16,Mexico,female,EMCS
18,25.25,Mexico,female,EMCS
26,24.89,Mexico,female,EMCS
24,23.96,Mexico,female,EMCS
25,23.59,Mexico,female,EMCS
26,24.76,Mexico,female,EMCS
16,24.40,Mexico,female,EMCS
23,24.24,Mexico,female,EMCS
28,24.40,Mexico,male,EMCS
22,24.75,Mexico,male,EMCS
24,23.79,Mexico,female,EMCS
21,23.95,Mexico,female,EMCS
25,23.40,Mexico,female,EMCS
30,23.67,Mexico,female,EMCS
22,24.40,Mexico,female,EMCS
28,24.50,Mexico,female,EMCS
28,24.14,Mexico,female,EMCS
11,29.78,Asia,male,EMCS
27,24.92,Mexico,male,EMCS
32,24.01,Mexico,male,EMCS
21,23.73,Mexico,male,EMCS
27,26.65,Mexico,female,EMCS
34,29.18,Mexico,male,EMCS
26,23.62,Mexico,female,EMCS
21,24.90,Mexico,female,EMCS
23,24.10,Mexico,female,EMCS
21,24.10,Mexico,female,EMCS
20,23.76,Mexico,female,EMCS
23,29.01,Mexico,female,EMCS
29,27.54,Mexico,female,EMCS
16,25.17,Mexico,male,EMCS
16,23.31,Mexico,female,EMCS
26,24.42,Mexico,male,EMCS
18,27.37,Mexico,female,EMCS
22,24.29,Mexico,female,EMCS
24,25.96,Mexico,male,EMCS
24,25.02,Mexico,male,EMCS
29,24.59,Mexico,female,EMCS
21,24.16,Mexico,female,EMCS
23,23.47,Mexico,female,EMCS
20,24.31,Mexico,female,EMCS
28,23.87,Mexico,female,EMCS
17,24.63,Mexico,male,EMCS
21,23.90,Mexico,female,EMCS
22,24.29,Mexico,male,EMCS
27,24.08,Mexico,male,EMCS
24,23.95,Mexico,female,EMCS
23,23.23,Mexico,female,EMCS
24,24.62,Mexico,female,EMCS
21,23.67,Mexico,female,EMCS
19,24.56,Mexico,female,EMCS
27,23.63,Mexico,male,EMCS
20,25.13,Mexico,female,EMCS
28,26.07,Mexico,female,EMCS
23,25.33,Mexico,female,EMCS
28,24.67,Mexico,male,EMCS
24,24.90,Mexico,male,EMCS
32,24.57,Mexico,female,EMCS
24,23.17,Mexico,female,EMCS
14,24.01,Mexico,female,EMCS
19,23.41,Mexico,female,EMCS
22,24.21,Mexico,male,EMCS
21,24.94,Mexico,female,EMCS
23,23.55,Mexico,male,EMCS
22,25.82,Mexico,male,EMCS
24,25.28,Mexico,female,EMCS
18,24.67,Mexico,female,EMCS
24,23.50,Mexico,female,EMCS
22,23.71,Mexico,female,EMCS
20,24.73,Mexico,male,EMCS
18,24.86,Mexico,female,EMCS
20,24.13,Mexico,female,EMCS
24,23.72,Mexico,male,EMCS
24,23.42,Mexico,female,EMCS
32,24.01,Mexico,female,EMCS
26,24.22,Mexico,male,EMCS
26,23.83,Mexico,female,EMCS
27,25.57,Mexico,female,EMCS
20,25.31,Mexico,female,EMCS
18,25.46,Mexico,female,EMCS
17,24.20,Mexico,male,EMCS
27,23.47,Mexico,male,EMCS
21,30.18,Mexico,male,EMCS
23,25.02,Mexico,male,EMCS
27,23.55,Mexico,male,EMCS
28,24.74,Mexico,male,EMCS
23,23.96,Mexico,male,EMCS
23,24.00,Mexico,female,EMCS
16,23.77,Mexico,female,EMCS
20,23.80,Mexico,female,EMCS
24,24.11,Mexico,female,EMCS
22,24.16,Mexico,female,EMCS
25,23.74,Mexico,female,EMCS
30,24.23,Mexico,male,EMCS
21,24.65,Mexico,female,EMCS
25,24.08,Mexico,male,EMCS
20,24.25,Mexico,female,EMCS
29,23.46,Mexico,male,EMCS
25,23.37,Mexico,female,EMCS
22,23.46,Mexico,male,EMCS
25,23.64,Mexico,male,EMCS
16,24.44,Mexico,male,EMCS
29,25.69,Mexico,male,EMCS
19,24.57,Mexico,female,EMCS
20,24.29,Mexico,male,EMCS
21,23.76,Mexico,female,EMCS
21,24.71,Mexico,female,EMCS
33,23.91,Mexico,female,EMCS
27,23.86,Mexico,female,EMCS
29,24.61,Mexico,male,EMCS
25,24.32,Mexico,male,EMCS
21,23.64,Mexico,female,EMCS
19,23.63,South America,male,EMCS
16,25.23,Mexico,female,EMCS
19,23.58,Mexico,female,EMCS
36,25.18,Mexico,female,EMCS
17,24.28,Mexico,female,EMCS
24,24.80,Mexico,male,EMCS
18,25.72,Mexico,male,EMCS
19,27.62,Mexico,male,EMCS
19,26.11,Mexico,male,EMCS
26,26.08,Mexico,female,EMCS
16,26.47,Mexico,female,EMCS
25,26.25,Mexico,male,EMCS
24,25.60,Mexico,female,EMCS
24,24.40,Mexico,male,EMCS
27,25.54,Mexico,female,EMCS
41,26.23,Mexico,male,EMCS
21,25.38,Mexico,male,EMCS
17,26.87,Mexico,female,EMCS
26,25.42,Mexico,male,EMCS
16,26.11,Mexico,female,EMCS
25,25.38,Mexico,female,EMCS
28,25.23,Mexico,male,EMCS
21,25.58,Mexico,female,EMCS
26,23.24,Mexico,female,EMCS
27,25.06,Mexico,female,EMCS
25,25.78,Mexico,female,EMCS
20,25.86,Mexico,male,EMCS
23,25.01,Mexico,female,EMCS
25,25.10,Mexico,female,EMCS
25,25.03,Mexico,female,EMCS
16,25.75,Mexico,female,EMCS
19,24.76,Mexico,female,EMCS
25,24.30,Mexico,female,EMCS
25,26.74,Mexico,male,EMCS
20,25.66,Mexico,male,EMCS
20,26.05,Mexico,female,EMCS
17,25.37,Mexico,male,EMCS
16,30.17,Mexico,male,EMCS
23,24.51,Mexico,male,EMCS
28,24.84,Mexico,male,EMCS
30,24.92,Mexico,male,EMCS
25,25.46,Mexico,female,EMCS
17,25.19,Mexico,female,EMCS
25,24.28,Mexico,male,EMCS
28,28.08,Mexico,female,EMCS
22,24.91,Mexico,female,EMCS
25,27.37,Mexico,female,EMCS
20,25.67,Mexico,female,EMCS
27,25.13,Mexico,female,EMCS
30,24.25,Mexico,male,EMCS
19,24.97,Mexico,male,EMCS
22,24.68,Mexico,female,EMCS
25,24.73,Mexico,female,EMCS
22,24.67,Mexico,male,EMCS
23,25.69,Mexico,female,EMCS
25,25.26,Mexico,female,EMCS
25,25.26,Mexico,female,EMCS
22,25.58,South America,female,EMCS
29,25.10,Mexico,female,EMCS
18,24.76,Mexico,female,EMCS
23,24.00,Mexico,female,EMCS
28,23.31,Mexico,male,EMCS
20,23.89,Mexico,female,EMCS
17,23.26,North America,female,EMCS
20,21.60,Mexico,female,EMCS
19,21.32,Mexico,female,EMCS
31,21.49,South America,female,EMCS
24,21.49,Mexico,female,EMCS
25,22.41,Mexico,female,EMCS
31,21.13,Mexico,female,EMCS
25,22.77,Mexico,female,EMCS
22,21.31,Mexico,female,EMCS
22,23.14,Mexico,male,EMCS
23,22.37,Mexico,female,EMCS
27,22.41,Mexico,female,EMCS
20,22.05,Mexico,female,EMCS
20,24.98,Mexico,female,EMCS
15,22.53,Mexico,female,EMCS
19,22.72,Mexico,female,EMCS
24,21.35,Mexico,female,EMCS
23,24.39,Mexico,female,EMCS
26,22.64,Mexico,female,EMCS
22,23.68,Mexico,female,EMCS
22,23.10,Mexico,female,EMCS
21,21.83,Mexico,female,EMCS
20,25.27,Mexico,female,EMCS
19,23.56,Mexico,female,EMCS
30,22.37,Mexico,female,EMCS
26,22.16,Mexico,female,EMCS
21,22.54,Mexico,female,EMCS
19,22.84,North America,male,EMCS
25,22.41,Mexico,female,EMCS
22,22.79,Mexico,female,EMCS
25,20.42,Mexico,female,EMCS
11,22.76,Asia,female,EMCS
23,22.70,Mexico,male,EMCS
21,22.90,Mexico,female,EMCS
16,21.62,Mexico,female,EMCS
28,22.99,Mexico,female,EMCS
23,22.20,Mexico,female,EMCS
26,22.35,Mexico,female,EMCS
22,21.69,Mexico,female,EMCS
23,22.76,Mexico,male,EMCS
24,23.72,Mexico,female,EMCS
26,21.78,Mexico,female,EMCS
18,21.51,Mexico,female,EMCS
28,22.16,Mexico,female,EMCS
28,21.85,Mexico,female,EMCS
24,22.23,Mexico,female,EMCS
23,22.90,Mexico,male,EMCS
28,24.73,Mexico,female,EMCS
20,23.65,Mexico,male,EMCS
22,24.67,Mexico,female,EMCS
19,21.99,Mexico,female,EMCS
18,22.78,Mexico,female,EMCS
18,21.69,Mexico,female,EMCS
23,22.69,Mexico,female,EMCS
22,24.07,Mexico,female,EMCS
15,29.48,North America,male,EMCS
20,25.16,Mexico,female,EMCS
26,23.47,Mexico,male,EMCS
21,23.36,Mexico,male,EMCS
20,22.88,Mexico,female,EMCS
25,23.15,Mexico,male,EMCS
23,23.77,Mexico,male,EMCS
28,22.80,South America,female,EMCS
23,22.86,Mexico,female,EMCS
22,22.30,South America,female,EMCS
18,21.43,Mexico,female,EMCS
24,22.90,Mexico,male,EMCS
20,27.09,Mexico,female,EMCS
22,23.29,Mexico,female,EMCS
31,23.47,South America,male,EMCS
22,23.29,Mexico,female,EMCS
21,23.24,Mexico,female,EMCS
18,23.60,Mexico,male,EMCS
22,23.87,Mexico,female,EMCS
19,22.27,Mexico,male,EMCS
21,22.28,Mexico,female,EMCS
26,22.46,Mexico,female,EMCS
24,21.94,South America,female,EMCS
23,22.72,Mexico,female,EMCS
21,22.64,Mexico,male,EMCS
18,23.06,Mexico,female,EMCS
19,22.34,Mexico,male,EMCS
25,22.94,South America,female,EMCS
27,22.77,Mexico,male,EMCS
22,23.75,Mexico,female,EMCS
19,22.20,Mexico,female,EMCS
23,23.06,Mexico,male,EMCS
26,22.69,Mexico,female,EMCS
23,22.39,Mexico,female,EMCS
34,23.22,South America,female,EMCS
27,22.80,South America,female,EMCS
22,23.77,Mexico,male,EMCS
29,22.68,Mexico,female,EMCS
27,22.86,Mexico,male,EMCS
17,23.13,Mexico,male,EMCS
20,22.32,Mexico,female,EMCS
25,23.36,Mexico,female,EMCS
20,23.10,Mexico,female,EMCS
19,26.45,Mexico,female,EMCS
20,23.17,Mexico,female,EMCS
20,23.32,Mexico,female,EMCS
33,23.76,Mexico,male,EMCS
23,22.93,Mexico,male,EMCS
24,23.21,Mexico,female,EMCS
21,22.83,Mexico,female,EMCS
16,22.77,Mexico,female,EMCS
21,22.64,Mexico,male,EMCS
27,23.62,Mexico,male,EMCS
26,22.54,Mexico,female,EMCS
20,24.11,Mexico,female,EMCS
27,23.18,Mexico,male,EMCS
22,22.57,Mexico,female,EMCS
24,24.31,Mexico,male,EMCS
23,24.97,Mexico,female,EMCS
21,24.43,Mexico,female,EMCS
25,24.08,Mexico,female,EMCS
23,23.41,Mexico,male,EMCS
31,23.56,Mexico,male,EMCS
25,23.41,Mexico,male,EMCS
27,22.48,Mexico,female,EMCS
33,22.60,Mexico,male,EMCS
26,23.04,Mexico,female,EMCS
26,23.14,Mexico,male,EMCS
11,23.64,Asia,female,EMCS
20,23.51,Mexico,male,EMCS
28,23.12,Mexico,female,EMCS
28,22.58,Mexico,female,EMCS
19,22.52,Mexico,female,EMCS
22,22.31,Mexico,female,EMCS
16,22.31,Mexico,female,EMCS
20,22.79,Mexico,male,EMCS
27,22.55,Mexico,female,EMCS
22,22.78,Mexico,female,EMCS
31,22.75,Mexico,female,EMCS
26,23.00,Mexico,female,EMCS
28,22.48,Mexico,female,EMCS
25,23.81,Mexico,male,EMCS
26,23.03,Mexico,male,EMCS
27,22.60,Mexico,female,EMCS
29,23.36,Mexico,female,EMCS
18,23.21,Mexico,female,EMCS
20,23.20,Mexico,male,EMCS
25,23.12,Mexico,female,EMCS
25,22.31,Mexico,female,EMCS
29,23.14,Mexico,female,EMCS
17,23.97,Mexico,female,EMCS
20,22.89,Mexico,female,EMCS
21,23.35,Mexico,male,EMCS
18,22.66,Mexico,male,EMCS
23,22.59,Mexico,female,EMCS
20,26.54,Mexico,female,EMCS
33,23.14,Mexico,female,EMCS
23,22.88,Mexico,female,EMCS
26,24.05,Mexico,male,EMCS
29,22.82,Mexico,female,EMCS
20,22.63,Mexico,male,EMCS
33,25.25,Mexico,female,EMCS
25,22.28,South America,male,EMCS
24,23.93,Mexico,male,EMCS
23,23.26,Mexico,male,EMCS
31,22.27,Mexico,female,EMCS
25,22.34,Mexico,female,EMCS
22,22.70,Mexico,female,EMCS
27,23.41,Mexico,female,EMCS
29,22.21,Mexico,female,EMCS
19,23.58,Mexico,female,EMCS
23,22.77,South America,female,EMCS
18,24.65,Mexico,female,EMCS
26,23.69,Mexico,female,EMCS
28,23.48,Mexico,male,EMCS
21,22.98,Mexico,female,EMCS
20,23.98,Mexico,female,EMCS
29,23.19,Mexico,female,EMCS
21,23.69,Mexico,female,EMCS
18,23.35,Mexico,female,EMCS
18,24.00,Mexico,female,EMCS
17,23.27,Mexico,female,EMCS
30,23.38,Mexico,female,EMCS
26,23.61,Mexico,male,EMCS
22,23.87,Mexico,female,EMCS
27,23.26,Mexico,female,EMCS
19,23.36,Mexico,female,EMCS
27,23.09,Mexico,female,EMCS
23,24.02,Mexico,female,EMCS
28,22.67,Mexico,male,EMCS
20,22.60,South America,male,EMCS
18,22.91,Mexico,female,EMCS
20,23.89,Mexico,female,EMCS
26,23.17,South America,female,EMCS
25,22.69,Mexico,female,EMCS
19,22.84,Mexico,female,EMCS
29,22.54,Mexico,female,EMCS
24,23.69,Mexico,female,EMCS
31,23.01,Mexico,female,EMCS
28,22.83,Mexico,female,EMCS
22,22.48,Mexico,female,EMCS
16,23.07,Mexico,female,EMCS
27,22.90,Mexico,female,EMCS
22,23.37,Mexico,female,EMCS
22,23.58,Mexico,female,EMCS
26,24.30,Mexico,male,EMCS
25,22.53,South America,male,International Students
21,24.99,Mexico,female,EMCS
27,24.53,Mexico,female,EMCS
20,24.02,Mexico,male,EMCS
21,24.44,Mexico,male,EMCS
24,25.60,Mexico,male,EMCS
19,26.29,Mexico,female,EMCS
23,24.07,Mexico,male,EMCS
32,23.65,Mexico,female,EMCS
24,23.85,Mexico,female,EMCS
21,25.18,Mexico,male,EMCS
21,24.82,South America,female,EMCS
25,24.09,Mexico,female,EMCS
33,25.02,Mexico,female,EMCS
23,26.54,Mexico,female,EMCS
25,25.91,Mexico,male,EMCS
20,24.62,Mexico,male,EMCS
26,24.53,Mexico,male,EMCS
28,23.98,Mexico,male,EMCS
21,26.14,Mexico,male,EMCS
19,23.61,Mexico,male,EMCS
23,23.96,Mexico,male,EMCS
24,23.78,Mexico,male,EMCS
20,23.97,Mexico,female,EMCS
21,27.33,Mexico,female,EMCS
20,25.99,Mexico,female,EMCS
26,27.91,Mexico,male,EMCS
16,25.80,Mexico,male,EMCS
17,26.22,Mexico,female,EMCS
30,28.28,Mexico,female,EMCS
22,27.43,Mexico,female,EMCS
24,26.95,Mexico,male,EMCS
33,25.71,Mexico,female,EMCS
11,26.62,Middle East,male,EMCS
24,25.98,Mexico,female,EMCS
18,26.12,Mexico,female,EMCS
18,26.04,Mexico,female,EMCS
14,26.00,Mexico,female,EMCS
8,24.46,Middle East,male,EMCS
16,30.69,Mexico,male,EMCS
16,25.16,Mexico,male,EMCS
26,25.25,Mexico,male,EMCS
27,23.51,Mexico,male,EMCS
22,24.23,South America,male,EMCS
26,25.11,Mexico,female,EMCS
21,26.10,Mexico,female,EMCS
18,26.87,Mexico,male,EMCS
29,24.98,South America,male,EMCS
25,25.78,Mexico,female,EMCS
19,26.53,Mexico,female,EMCS
24,24.64,Mexico,male,EMCS
23,23.70,Mexico,female,EMCS
20,29.86,Mexico,female,EMCS
24,23.32,Mexico,female,EMCS
26,24.22,Mexico,male,EMCS
31,25.17,Mexico,female,EMCS
25,23.44,Mexico,female,EMCS
18,24.61,Mexico,female,EMCS
26,24.90,Mexico,female,EMCS
30,23.73,Mexico,female,EMCS
23,24.34,Mexico,female,EMCS
18,24.41,Mexico,female,EMCS
25,27.97,Mexico,male,EMCS
27,27.15,Mexico,female,EMCS
23,24.67,Mexico,male,EMCS
21,27.08,Mexico,male,EMCS
20,27.08,Mexico,male,EMCS
23,26.30,Mexico,female,EMCS
23,24.57,Mexico,male,EMCS
21,26.90,Mexico,female,EMCS
27,27.27,Mexico,male,EMCS
17,25.56,Mexico,male,EMCS
28,24.20,Mexico,female,EMCS
16,25.56,Mexico,male,EMCS
24,24.96,Mexico,male,EMCS
18,26.29,Mexico,male,EMCS
30,24.57,Mexico,female,EMCS
28,25.38,Mexico,female,EMCS
24,25.38,Mexico,female,EMCS
24,24.93,Mexico,female,EMCS
29,25.81,Mexico,male,EMCS
23,26.43,Mexico,female,EMCS
19,24.48,Mexico,male,EMCS
24,24.39,Mexico,female,EMCS
17,24.16,Mexico,female,EMCS
29,23.98,Mexico,male,EMCS
26,23.35,Mexico,female,EMCS
24,24.02,Mexico,male,EMCS
29,24.21,Mexico,female,EMCS
29,23.96,Mexico,female,EMCS
26,24.44,South America,male,EMCS
32,24.05,Mexico,female,EMCS
28,23.20,Mexico,female,EMCS
28,25.03,South America,female,EMCS
18,25.28,Mexico,male,EMCS
27,22.68,South America,female,EMCS
23,25.20,Mexico,female,EMCS
23,23.65,Mexico,female,EMCS
23,23.80,Mexico,male,EMCS
28,26.11,Mexico,female,EMCS
29,23.98,Mexico,female,EMCS
17,21.85,Mexico,female,EMCS
20,23.30,Mexico,female,EMCS
21,22.22,Mexico,female,EMCS
32,23.82,Mexico,female,EMCS
29,21.37,Mexico,female,EMCS
23,23.10,Mexico,female,EMCS
26,22.06,Mexico,male,EMCS
20,22.12,North America,female,EMCS
18,24.50,South America,female,EMCS
23,21.47,Mexico,female,EMCS
